.30 .10
7
ELECTRONIC FOOT MASSAGERS INCREASE WORKER PRODUCTIVITY!
0 .01 0 1
THREE DAY WORK WEEK SIGNED INTO LAW!
.02 -.01 0 1
NORMAL LIFE SPAN APPROACHES 150 YEARS IN U.S.!
0 .01 0 1
ANCIENT SPACE SHIP UNEARTHED IN RUSSIA!
0 0 0 1
SYRIAN FORCES IN ECUADOR!
0 .01 -.03 1
U.S. TRADE DEFICIT WIDENS!
-.01 -.01 0 1
LEADING INDICATORS RISE SHARPLY.
.02 .03 0 1
6
NEW ORDERS FOR MANUFACTURED GOODS SHOW INCREASE!
-.01 .02 0 1
NEW ENERGY SOURCE TO REPLACE DWINDLING FOSSILE FUEL RESERVES!
0 .01 0 1
ELECTROMAGNETIC LAUNCHING CUTS COSTS OF RAW MATERIALS FROM MOON MINES!
0 .01 0 1
PRESIDENTIAL SPACE CRUISER IN NEAR-MISS WITH ASTEROID!
0 0 -.01 1
NEWLY DISCOVERED PLANET RICH IN DIAMONDS!
0 .01 -.01 1
NEW STARSHIP TO EXPLORE AREA NEAR ALPHA CENTAURI!
0 .01 -.01 1
