.27 .23
8
FOREIGN GOVERNMENTS WITHDRAW U.S. BANK HOLDINGS.
-.04 -.02 -.03 1
U.S. SOVIET FRIENDSHIP TREATY SIGNED!
.02 .03 .04 1
RESORT COMPLEX PLANNED FOR ANTARCTICA!
0 .01 0 1
NEW WAR THREAT IN MIDDLE EAST!
0 .02 -.02 1
NEW L.A. AIRPORT TO BE CALLED SINATRA FIELD!
0 0 0 1
MORTGAGE RATES DROP SHARPLY!
.04 .02 0 1
SOUTHEAST ASIAN PACT SIGNED!
0 0 .01 1
MARTIAN TRADE MISSION WELCOMED AT U.N.
0 .01 .01 1
8
FED TO CUT MONEY SUPPLY!
-.02 -.01 0 1
HIKE IN PERSONAL INCOME TAXES PLANNED.
.02 -.02 0 1
BANK LOAN DEMAND DOWN!
-.04 -.02 0 1
FIRST TIME TRAVELERS RETURN SAFELY; HAILED WITH TICKER TAPE PARADE IN N.Y.
0 0 .01 1
U.S. ACCUSES ARGENTINA OF COUNTERFEITING DOLLARS TO REPAY LOANS!
.02 -.01 -.02 1
NASA DEMONSTRATES HYPERSPACE DRIVE!
0 .01 0 1
CHICAGO'S MILE HIGH TOWER NEARS COMPLETION!
0 .01 0 1
PRESIDENT THINKS BETTER...
0 0 .01 1
