.06 .03
9
ACADEMY AWARD WON BY "THE BRIDGE ON THE RIVER KWAI".
0 0 0 1
ANTHONY EDEN RESIGNS AS BRITISH LEADER.
0 0 -.01 1
U.N. REOPENS SUEZ CANAL.
0 0 .01 1
COMMON MARKET TREATY SIGNED IN ROME.
0 .02 .01 1
TEAMSTERS EXPELLED FROM AFL-CIO.
-.01 0 0 1
"SEVENTY SIX TROMBONES" AND "MARIA" NEAR TOP OF POP CHARTS.
0 0 0 1
TREASURY SEC. APPEARS TO CRITICIZE '58 BUDGET AS TOO HIGH-CALLS FOR ADDT. CUTS
.01 -.02 .01 1
PRESIDENT WARNS WAGE & PRICE CONTROLS NECESSARY UNLESS BUSINESS USES RESTRAINT
.01 -.03 0 1
FISCAL YEAR 1957 2ND STRAIGHT BUDGET SURPLUS YEAR.
.01 -.01 0 1
8
CHOU-EN-LAI VISITS KREMLIN.
0 0 -.02 1
ISRAELI TROOPS WITHDRAW FROM SINAI.
.01 0  .01 1
MARTIAL LAW IN JORDAN.
0 0 -.01 1
BRITAIN TESTS THERMONUCLEAR BOMB.
0 0 -.01 1
SOVIETS LAUNCH FIRST EARTH SATELLITES.
-.01 -.02 .03 1
BRITISH BANK INTEREST SOARS TO 7%.
-.02 0 0 1
BLS CONSUMER PRICE INDEX UP .2% - 7TH CONSECUTIVE RISE.
-.01 -.01 0 1
EISENHOWER WARNS AGAINST BUDGET CUTS.
-.01 .01 0  1
