.035 .01
9
CHINESE COMMUNISTS PROCLAIM PEOPLES REPUBLIC.
0 0 0 1
MORE U.S. AID FOR EUROPE.
-.02 .01 -.01 1
BERLIN BLOCKADE ENDS.
0 0 .02 1
BRITAIN DEVALUES POUND.
-.01 -.01 0 1
"SOUTH PACIFIC" OPENS IN NEW YORK.
0 0 0 1
AIR FORCE JET CROSSES U.S. IN 3 HOURS 46 MINUTES.
0 0 0 1
"GHOST RIDERS IN THE SKY" NEARS TOP OF SONG CHARTS.
0 0 0 1
"ALL THE KING'S MEN" RECEIVES ACADEMY AWARD.
 0 0 0 1
INDUSTRIAL OUTPUT AT 3 1/2 YEAR LOW - BLAME PUT ON STEEL AND COAL STRIKES.
.01 -.01 0 1
9
NORTH ATLANTIC TREATY SIGNED.
-.01 0 .02 1
ISRAEL ADMITTED TO U.N.
0 0 -.01 1
U.N. WARNS OF POSSIBLE CIVIL WAR IN KOREA.
0 0 -.01 1
HUNGARIAN CARDINAL SENTENCED TO LIFE IMPRISONMENT.
0 0 0 1
U.S.S.R. TESTS A-BOMB!
0 0 -.02 1
BRITISH NATIONALIZE GAS INDUSTRY.
0 0 0 1
PRESIDENT TRUMAN MAINTAINS WAGES AND PROFITS TOO HIGH.
.01 -.01 0 1
3RD QUARTER GNP DOWN $3.5 BILLION.
0 -.02 0 1
PRESIDENT TRUMAN SUBMITS RECORD BUDGET FOR FISCAL YEAR 1950.
-.02 .01 -.01 1
