0.055 0.025
10
AUSTRIA AND ITALY SIGN FRIENDSHIP TREATY.
-.01 0 -.02 1.3
DOHENY ACQUITTED IN TEAPOT DOME SCANDAL.
0 0 -.01 1.3
U.S. POPULATION REACHES 122 MILLION.
0 0 0 1.2
BOBBY JONES WINS GRAND SLAM.
0 0 0 1.1
MAX SCHMELING NAMED WORLD HEAVYWEIGHT BOXING CHAMPION.
0 0 0 1.1
"GEORGIA ON MY MIND" & "THREE LITTLE WORDS" HIT TOP OF CHARTS.
0 0 0 1.1
SMOOT-HAWLEY TARIFF BILL PASSED - HIGHER CUSTOM DUTIES.
-.01 -.02 0 1.4
RENEWED STOCK MARKET COLLAPSES -- BOND PRICES FALL.
-.02 -.04 0 .8
GLUT OF AVAILABLE FUNDS IN MONEY MARKET.
.03 -.03 0 1
PUBLIC LEARNS OF DROUGHTS EXTENT; SPECULATION SENDS GRAIN PRICES UP, UP, UP.
-.03 -.04 0 1
9
"ALL QUIET ON THE WESTERN FRONT" WINS ACADEMY AWARD.
0 0 0 1.2
U.S., JAPAN, ITALY AND BRITAIN SIGN NAVAL DISARMAMENT TREATY.
0 .01 .03 1.2
HOOVER APPROVES SMOOT-HAWLEY TARIFF.
0 -.03 -.03 1.3
SINCLAIR LEWIS WINS NOBEL PRIZE FOR LITERATURE WITH "BABBITT".
0 0 0 1.2
ASTRONOMERS DISCOVER NEW PLANET PLUTO.
0 0 0 1.1
PHILADELPHIA WINS WORLD SERIES.
0 0 0 1.1
BANK OF U.S. FAILS.
-.02 -.03 -.01 1.3
GRAIN MARKET COLLAPSES - WHEAT AT LOWEST PRICE SINCE 1914-15.
.03 -.02 0 1
REDISCOUNT RATE CUT TO 2 1/2% FROM 3%. FED SEEKS TO INCREASE BANK CREDIT.
.01 -.02 0 1
