.055 .025
11
U.S. TO SEND AID TO ISRAEL.
-.01 0 -.01 1
ISRAELI TROOPS INVADE SINAI.
0 0 -.03 1
NASSER ELECTED PRESIDENT OF EGYPT.
0 0 -.01 1
FOUR NEW ANTIBIOTICS UNDERGO U.S. TESTS.
0 0 0 1
GRACE KELLY MARRIES PRINCE RAINIER OF MONACO.
0 0 0 1
"ANDREA DORIA", ITALIAN LINER, SINKS IN COLLISION!
0 0 0 1
SOVIET TANKS IN BUDAPEST.
-.01 0 -.02 1
OSCAR GOES TO "AROUND THE WORLD IN 80 DAYS".
0 0 0 1
"BLUE SUEDE SHOES" TOPS CHARTS.
0 0 0 1
DULLES SAYS U.S. WALKED TO "BRINK OF WAR" 3 TIMES DURING EISENHOWER ADMIN.
0 0 -.02 1
CONCERN ABOUT $9.5 BIL. TREASURY DEBT REFUNDING, HIGH BANK LOAN DEMANDS.
-.03 -.01 0 1
10
JORDAN AND ISRAEL AGREE TO U.N. TRUCE PROPOSALS.
0 0 0 1
KRUSHCHEV DENOUNCES STALIN POLICIES.
0 0 .02 1
BULGANIN AND KRUSHCHEV IN BRITAIN.
0 0 .03 1
UPRISING IN HUNGARY SPREADS.
0 0 -.03 1
EISENHOWER-NIXON TICKET WINS ELECTION.
.01 0 -.01 1
JAPAN ADMITTED TO U.N.
0 0 0 1
NEW ORAL VACCINE EFFECTIVE AGAINST POLIO.
0 .01 0 1
PRESIDENT NASSER NATIONALIZES SUEZ CANAL.
0 -.01 -.05 1
FEDERAL SURPLUS OF $1.6 BILLION IN 1956 ANNOUNCED.
.01 -.01 0  1
EISENHOWER ECONOMIC REPORT SEES GNP APPROACHING $400 BILLION.
0 .01 0 1
